C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
60  |BRLT 14                         |BD*|00 43 55.611 +14 11 17.65  |     ~|     ~|     ~|     ~|     ~|L0.0           |   2|   0
61  |2MASSW J1449378+235537          |BD*|14 49 37.842 +23 55 37.87  |     ~|     ~|     ~|     ~|     ~|L0V            |  12|   0
62  |HD 89744B                       |BD*|10 22 14.89 +41 14 26.7    |     ~|     ~|     ~|     ~|     ~|L0.5           |  36|   1
63  |WISEA J085510.74-071442.5       |BD*|08 55 10.83 -07 14 42.5    |     ~|     ~|     ~|     ~|     ~|Y2             |  32|   0
64  |2MASS J16412389+2821335         |BD*|16 41 23.891 +28 21 33.57  |     ~|     ~|     ~|     ~|     ~|L0.5           |   1|   0
65  |2MASS J13484591+0353545         |BD*|13 48 45.919 +03 53 54.56  |     ~|     ~|     ~|     ~|     ~|L1             |   4|   0
66  |WISEP J232123.83+135453.5       |BD*|23 21 23.762 +13 54 58.87  |     ~|     ~|     ~|     ~|     ~|T7.5           |   7|   0
67  |2MASS J07123786-6155528         |*  |07 12 37.86 -61 55 52.9    |     ~|     ~|     ~|     ~|     ~|L1             |   5|   0
68  |2MASS J06164006-6407194         |BD*|06 16 40.06 -64 07 19.5    |     ~|     ~|     ~|     ~|     ~|L5VI           |   9|   0
69  |WISEP J115323.23-014828.0       |BD*|11 53 38.74 -01 47 24.1    |     ~|     ~|     ~|     ~|     ~|T6             |   4|   0
70  |2MASS J08392628+4339356         |BD*|08 39 26.290 +43 39 35.63  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
71  |2MASS J10094265+5802175         |BD*|10 09 42.660 +58 02 17.52  |     ~|     ~|     ~|     ~|     ~|L3             |   1|   0
72  |BRLT 168                        |BD*|12 21 11.673 +12 22 17.08  |     ~|     ~|     ~|     ~|     ~|L4.0           |   1|   0
73  |2MASS J12224827+1300578         |BD*|12 22 48.276 +13 00 57.84  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
74  |2MASS J02425693+2123204         |BD*|02 42 56.939 +21 23 20.43  |     ~|     ~|     ~|     ~|     ~|L4             |   4|   0
75  |BD+13 2618C                     |BD*|13 00 41.936 +12 21 14.72  |     ~|     ~|     ~|     ~|23.28 |T8.5p          |  66|   0
76  |BRLT 258                        |BD*|14 46 00.704 +00 24 51.43  |     ~|     ~|     ~|     ~|     ~|L5.0           |   1|   0
77  |2MASS J09324283+0422153         |BD*|09 32 42.836 +04 22 15.30  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
78  |2MASS J10393137+3256263         |BD*|10 39 31.38 +32 56 26.4    |     ~|     ~|     ~|     ~|     ~|T1             |   9|   1
79  |2MASS J14505891+5841167         |BD*|14 50 58.92 +58 41 16.8    |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
80  |BRLT 64                         |BD*|03 30 36.840 +04 26 57.73  |     ~|     ~|     ~|     ~|     ~|L4.0           |   2|   0
81  |2MASS J12531092-5709248         |BD*|12 53 10.93 -57 09 24.9    |     ~|     ~|     ~|     ~|16.74 |L0.5           |   6|   0
82  |2MASS J14403186-1303263         |BD*|14 40 31.868 -13 03 26.31  |     ~|     ~|     ~|     ~|     ~|L1             |   5|   0
83  |ULAS J105134.32-015449.8        |Ro*|10 51 34.32 -01 54 49.8    |     ~|     ~|     ~|     ~|     ~|T6             |   2|   0
84  |ULAS2MASS J0835+0548            |BD*|08 35 58.295 +05 48 30.85  |     ~|     ~|     ~|     ~|     ~|L3             |   8|   0
85  |2MASSW J1411175+393636          |BD*|14 11 17.354 +39 36 36.31  |     ~|     ~|     ~|     ~|     ~|L1.5V          |  14|   0
86  |WISE J032547.72+083118.2        |BD*|03 25 47.72 +08 31 18.2    |     ~|     ~|     ~|     ~|     ~|T7             |   3|   0
87  |2MASS J12113013+0406096         |BD*|12 11 30.138 +04 06 09.64  |     ~|     ~|     ~|     ~|     ~|L2             |   2|   0
88  |WISE J212321.92-261405.1        |BD*|21 23 21.92 -26 14 05.1    |     ~|     ~|     ~|     ~|     ~|T5.5           |   2|   0
89  |2MASS J02112827+1410039         |BD*|02 11 28.280 +14 10 03.95  |     ~|     ~|     ~|     ~|     ~|L0             |   7|   0
90  |2MASS J13154379+2334578         |BD*|13 15 43.791 +23 34 57.85  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
91  |2MASS J21315444-0119374         |BD*|21 31 54.44 -01 19 37.4    |     ~|     ~|     ~|     ~|     ~|L9.5           |   4|   0
92  |2MASS J13530778-0857119         |BD*|13 53 07.784 -08 57 11.93  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
