tile,ra,dec,row
0050m258,5.00002700000000,-25.7455560000000,833
0050m273,5.07044200000000,-27.2600000000000,834
0050p257,5.00002700000000,25.7455560000000,835
0050p272,5.07044200000000,27.2600000000000,836
0051m288,5.14286700000000,-28.7744440000000,837
0051m546,5.10644400000000,-54.5200000000000,838
0051p287,5.14286700000000,28.7744440000000,839
0051p545,5.10644400000000,54.5200000000000,17028
0052m303,5.21740400000000,-30.2888890000000,840
0052m319,5.29414400000000,-31.8033330000000,841
0052m743,5.29429300000000,-74.2077780000000,842
0052p302,5.21740400000000,30.2888890000000,843
0052p318,5.29414400000000,31.8033330000000,844
0052p742,5.29429300000000,74.2077780000000,845
0053m334,5.39997800000000,-33.3177780000000,846
0053m561,5.33326400000000,-56.0344440000000,847
0053p333,5.39997800000000,33.3177780000000,848
0053p560,5.33326400000000,56.0344440000000,15222
0054m349,5.48224000000000,-34.8322220000000,849
0054p348,5.48224000000000,34.8322220000000,850
0055m364,5.59583500000000,-36.3466670000000,851
0055m576,5.53843600000000,-57.5488890000000,852
0055p363,5.59583500000000,36.3466670000000,853
0055p575,5.53843600000000,57.5488890000000,15223
0056m379,5.68424600000000,-37.8611110000000,854
0056p378,5.68424600000000,37.8611110000000,855
0057m591,5.76000800000000,-59.0633330000000,856
0057p590,5.76000800000000,59.0633330000000,14721
0058m394,5.80647900000000,-39.3755560000000,857
0058m758,5.80672100000000,-75.7222220000000,858
0058p393,5.80647900000000,39.3755560000000,859
0058p757,5.80672100000000,75.7222220000000,860
0059m409,5.93409300000000,-40.8900000000000,861
0059p408,5.93409300000000,40.8900000000000,862
0060m016,6.05044300000000,-1.51444400000000,863
0060m031,6.05044700000000,-3.02888900000000,864
0060m046,6.07594500000000,-4.54333300000000,865
0060m061,6.07597200000000,-6.05777800000000,866
0060m425,6.06745600000000,-42.4044440000000,867
0060m606,6.00010100000000,-60.5777780000000,868
0060p000,6.05044300000000,0.00000000000000,869
0060p015,6.05044300000000,1.51444400000000,870
0060p030,6.05044700000000,3.02888900000000,871
0060p045,6.07594500000000,4.54333300000000,872
0060p060,6.07597200000000,6.05777800000000,873
0060p424,6.06745600000000,42.4044440000000,874
0060p605,6.00010100000000,60.5777780000000,14329
0061m076,6.10169500000000,-7.57222200000000,875
0061m091,6.12765400000000,-9.08666700000000,876
0061m107,6.15384000000000,-10.6011110000000,877
0061m122,6.18025700000000,-12.1155560000000,878
0061p075,6.10169500000000,7.57222200000000,879
0061p090,6.12765400000000,9.08666700000000,880
0061p106,6.15384000000000,10.6011110000000,881
0061p121,6.18025700000000,12.1155560000000,882
0062m137,6.20691800000000,-13.6300000000000,883
0062m152,6.26086000000000,-15.1444440000000,884
0062m167,6.28823700000000,-16.6588890000000,885
0062m440,6.24273000000000,-43.9188890000000,886
0062p136,6.20691800000000,13.6300000000000,887
0062p151,6.26086000000000,15.1444440000000,888
0062p166,6.28823700000000,16.6588890000000,889
0062p439,6.24273000000000,43.9188890000000,17029
0063m182,6.34362800000000,-18.1733330000000,890
0063m455,6.39053000000000,-45.4333330000000,891
0063m621,6.31578300000000,-62.0922220000000,892
0063p181,6.34362800000000,18.1733330000000,893
0063p454,6.39053000000000,45.4333330000000,16133
0063p620,6.31578300000000,62.0922220000000,14330
0064m197,6.40001300000000,-19.6877780000000,894
0064m213,6.45742200000000,-21.2022220000000,895
0064m773,6.42901700000000,-77.2366670000000,896
0064p196,6.40001300000000,19.6877780000000,897
0064p212,6.45742200000000,21.2022220000000,898
0064p772,6.42901700000000,77.2366670000000,899
0065m228,6.51587000000000,-22.7166670000000,900
0065m470,6.54551000000000,-46.9477780000000,901
0065p227,6.51587000000000,22.7166670000000,902
0065p469,6.54551000000000,46.9477780000000,16134
0066m243,6.60550400000000,-24.2311110000000,903
0066m258,6.66670200000000,-25.7455560000000,904
0066m637,6.60564100000000,-63.6066670000000,905
0066p242,6.60550400000000,24.2311110000000,906
0066p257,6.66670200000000,25.7455560000000,907
0066p636,6.60564100000000,63.6066670000000,15224
0067m273,6.76058900000000,-27.2600000000000,908
0067m485,6.74999900000000,-48.4622220000000,909
0067p272,6.76058900000000,27.2600000000000,910
0067p484,6.74999900000000,48.4622220000000,17030
0068m288,6.85715700000000,-28.7744440000000,911
0068p287,6.85715700000000,28.7744440000000,912
0069m303,6.95653900000000,-30.2888890000000,913
0069m500,6.96770800000000,-49.9766670000000,914
0069m652,6.99032800000000,-65.1211110000000,915
0069p302,6.95653900000000,30.2888890000000,916
0069p499,6.96770800000000,49.9766670000000,16135
0069p651,6.99032800000000,65.1211110000000,917
0070m319,7.05885800000000,-31.8033330000000,918
0070p318,7.05885800000000,31.8033330000000,919
0071m334,7.19997100000000,-33.3177780000000,920
0071m515,7.15239600000000,-51.4911110000000,921
0071p333,7.19997100000000,33.3177780000000,922
0071p514,7.15239600000000,51.4911110000000,16136
0072m788,7.20071200000000,-78.7511110000000,923
0072p787,7.20071200000000,78.7511110000000,924
0073m349,7.30965300000000,-34.8322220000000,925
0073m531,7.39734200000000,-53.0055560000000,926
0073p348,7.30965300000000,34.8322220000000,927
0073p530,7.39734200000000,53.0055560000000,16137
0074m364,7.46111300000000,-36.3466670000000,928
0074m667,7.42263500000000,-66.6355560000000,929
0074p363,7.46111300000000,36.3466670000000,930
0074p666,7.42263500000000,66.6355560000000,931
0075m016,7.56305400000000,-1.51444400000000,932
0075m031,7.56305800000000,-3.02888900000000,933
0075m046,7.59493100000000,-4.54333300000000,934
0075m061,7.59496500000000,-6.05777800000000,935
0075m379,7.57899500000000,-37.8611110000000,936
0075p000,7.56305400000000,0.00000000000000,937
0075p015,7.56305400000000,1.51444400000000,938
0075p030,7.56305800000000,3.02888900000000,939
0075p045,7.59493100000000,4.54333300000000,940
0075p060,7.59496500000000,6.05777800000000,941
0075p378,7.57899500000000,37.8611110000000,942
0076m076,7.62711800000000,-7.57222200000000,943
0076m091,7.65956800000000,-9.08666700000000,944
0076m107,7.69230000000000,-10.6011110000000,945
0076m546,7.65966700000000,-54.5200000000000,946
0076p075,7.62711800000000,7.57222200000000,947
0076p090,7.65956800000000,9.08666700000000,948
0076p106,7.69230000000000,10.6011110000000,949
0076p545,7.65966700000000,54.5200000000000,15225
0077m122,7.72532100000000,-12.1155560000000,950
0077m137,7.75864700000000,-13.6300000000000,951
0077m394,7.74197200000000,-39.3755560000000,952
0077p121,7.72532100000000,12.1155560000000,953
0077p136,7.75864700000000,13.6300000000000,954
